Date,Product,Category,Quantity,Unit_Price,Total_Sales,Cost,Profit,Customer_Type
2025-06-01,Wireless Earbuds,Electronics,15,29.99,449.85,180.00,269.85,Walk-in
2025-06-01,Phone Case,Accessories,22,12.99,285.78,110.00,175.78,Online
2025-06-01,USB Cable,Electronics,30,7.99,239.70,90.00,149.70,Walk-in
2025-06-01,Screen Protector,Accessories,18,5.99,107.82,36.00,71.82,Online
2025-06-01,Bluetooth Speaker,Electronics,8,49.99,399.92,200.00,199.92,Walk-in
2025-06-02,Wireless Earbuds,Electronics,12,29.99,359.88,144.00,215.88,Online
2025-06-02,Phone Case,Accessories,25,12.99,324.75,125.00,199.75,Walk-in
2025-06-02,Laptop Stand,Office,6,34.99,209.94,90.00,119.94,Online
2025-06-02,Mouse Pad,Office,20,9.99,199.80,60.00,139.80,Walk-in
2025-06-02,USB Hub,Electronics,10,19.99,199.90,80.00,119.90,Online
2025-06-03,Wireless Earbuds,Electronics,18,29.99,539.82,216.00,323.82,Walk-in
2025-06-03,Power Bank,Electronics,14,24.99,349.86,140.00,209.86,Online
2025-06-03,Phone Case,Accessories,20,12.99,259.80,100.00,159.80,Walk-in
2025-06-03,Webcam,Electronics,5,44.99,224.95,100.00,124.95,Online
2025-06-03,Notebook Set,Office,25,6.99,174.75,75.00,99.75,Walk-in
2025-06-04,Bluetooth Speaker,Electronics,10,49.99,499.90,250.00,249.90,Online
2025-06-04,Wireless Earbuds,Electronics,16,29.99,479.84,192.00,287.84,Walk-in
2025-06-04,Phone Case,Accessories,28,12.99,363.72,140.00,223.72,Online
2025-06-04,USB Cable,Electronics,35,7.99,279.65,105.00,174.65,Walk-in
2025-06-04,Screen Protector,Accessories,22,5.99,131.78,44.00,87.78,Online
2025-06-05,Power Bank,Electronics,20,24.99,499.80,200.00,299.80,Walk-in
2025-06-05,Wireless Earbuds,Electronics,14,29.99,419.86,168.00,251.86,Online
2025-06-05,Laptop Stand,Office,8,34.99,279.92,120.00,159.92,Walk-in
2025-06-05,Phone Case,Accessories,30,12.99,389.70,150.00,239.70,Online
2025-06-05,Mouse Pad,Office,15,9.99,149.85,45.00,104.85,Walk-in
2025-06-06,Bluetooth Speaker,Electronics,12,49.99,599.88,300.00,299.88,Online
2025-06-06,Wireless Earbuds,Electronics,20,29.99,599.80,240.00,359.80,Walk-in
2025-06-06,USB Hub,Electronics,15,19.99,299.85,120.00,179.85,Online
2025-06-06,Phone Case,Accessories,18,12.99,233.82,90.00,143.82,Walk-in
2025-06-06,Webcam,Electronics,7,44.99,314.93,140.00,174.93,Online
2025-06-07,Wireless Earbuds,Electronics,22,29.99,659.78,264.00,395.78,Walk-in
2025-06-07,Power Bank,Electronics,16,24.99,399.84,160.00,239.84,Online
2025-06-07,Phone Case,Accessories,24,12.99,311.76,120.00,191.76,Walk-in
2025-06-07,Bluetooth Speaker,Electronics,9,49.99,449.91,225.00,224.91,Online
2025-06-07,Laptop Stand,Office,10,34.99,349.90,150.00,199.90,Walk-in
2025-06-08,Wireless Earbuds,Electronics,25,29.99,749.75,300.00,449.75,Online
2025-06-08,Phone Case,Accessories,32,12.99,415.68,160.00,255.68,Walk-in
2025-06-08,USB Cable,Electronics,28,7.99,223.72,84.00,139.72,Online
2025-06-08,Screen Protector,Accessories,20,5.99,119.80,40.00,79.80,Walk-in
2025-06-08,Mouse Pad,Office,18,9.99,179.82,54.00,125.82,Online
2025-06-09,Bluetooth Speaker,Electronics,15,49.99,749.85,375.00,374.85,Walk-in
2025-06-09,Wireless Earbuds,Electronics,19,29.99,569.81,228.00,341.81,Online
2025-06-09,Power Bank,Electronics,12,24.99,299.88,120.00,179.88,Walk-in
2025-06-09,Phone Case,Accessories,26,12.99,337.74,130.00,207.74,Online
2025-06-09,USB Hub,Electronics,11,19.99,219.89,88.00,131.89,Walk-in
2025-06-10,Wireless Earbuds,Electronics,28,29.99,839.72,336.00,503.72,Online
2025-06-10,Phone Case,Accessories,35,12.99,454.65,175.00,279.65,Walk-in
2025-06-10,Bluetooth Speaker,Electronics,11,49.99,549.89,275.00,274.89,Online
2025-06-10,Laptop Stand,Office,12,34.99,419.88,180.00,239.88,Walk-in
2025-06-10,Webcam,Electronics,9,44.99,404.91,180.00,224.91,Online
2025-06-11,Wireless Earbuds,Electronics,30,29.99,899.70,360.00,539.70,Walk-in
2025-06-11,Power Bank,Electronics,18,24.99,449.82,180.00,269.82,Online
2025-06-11,Phone Case,Accessories,22,12.99,285.78,110.00,175.78,Walk-in
2025-06-11,USB Cable,Electronics,40,7.99,319.60,120.00,199.60,Online
2025-06-11,Screen Protector,Accessories,25,5.99,149.75,50.00,99.75,Walk-in
2025-06-12,Bluetooth Speaker,Electronics,14,49.99,699.86,350.00,349.86,Online
2025-06-12,Wireless Earbuds,Electronics,24,29.99,719.76,288.00,431.76,Walk-in
2025-06-12,Phone Case,Accessories,28,12.99,363.72,140.00,223.72,Online
2025-06-12,Laptop Stand,Office,9,34.99,314.91,135.00,179.91,Walk-in
2025-06-12,Mouse Pad,Office,22,9.99,219.78,66.00,153.78,Online
2025-06-13,Wireless Earbuds,Electronics,26,29.99,779.74,312.00,467.74,Online
2025-06-13,Power Bank,Electronics,15,24.99,374.85,150.00,224.85,Walk-in
2025-06-13,Bluetooth Speaker,Electronics,13,49.99,649.87,325.00,324.87,Online
2025-06-13,Phone Case,Accessories,30,12.99,389.70,150.00,239.70,Walk-in
2025-06-13,USB Hub,Electronics,14,19.99,279.86,112.00,167.86,Online
2025-06-14,Wireless Earbuds,Electronics,32,29.99,959.68,384.00,575.68,Walk-in
2025-06-14,Phone Case,Accessories,38,12.99,493.62,190.00,303.62,Online
2025-06-14,Bluetooth Speaker,Electronics,16,49.99,799.84,400.00,399.84,Walk-in
2025-06-14,Webcam,Electronics,10,44.99,449.90,200.00,249.90,Online
2025-06-14,Laptop Stand,Office,11,34.99,384.89,165.00,219.89,Walk-in
2025-06-15,Wireless Earbuds,Electronics,35,29.99,1049.65,420.00,629.65,Online
2025-06-15,Power Bank,Electronics,22,24.99,549.78,220.00,329.78,Walk-in
2025-06-15,Phone Case,Accessories,40,12.99,519.60,200.00,319.60,Online
2025-06-15,USB Cable,Electronics,45,7.99,359.55,135.00,224.55,Walk-in
2025-06-15,Screen Protector,Accessories,30,5.99,179.70,60.00,119.70,Online
